Hour,Forecast_Solar,Forecast_Wind
1,0.047918975,0.06331309
2,0.050786678,0.061414074
3,0.053402413,0.059347324
4,0.055596355,0.05763906
5,0.057429906,0.056376174
6,0.059081856,0.055425383
7,0.06055479,0.054680336
8,0.061657798,0.05419893
9,0.06212373,0.053985603
10,0.061826054,0.05399394
11,0.060865764,0.054160647
12,0.059402537,0.054444294
13,0.057455584,0.0546692
14,0.055218685,0.054742336
15,0.05300396,0.05481259
16,0.0512013,0.05489341
17,0.050188888,0.05499788
18,0.04989472,0.055125326
19,0.049821075,0.055215046
20,0.049848497,0.055244617
21,0.049988776,0.055200532
22,0.05023389,0.055096485
23,0.05057256,0.054948807
24,0.051002044,0.054755755
