Hour,Forecast Solar,Forecast Wind
1,0.0036962796,0.2747055
2,0.0033921152,0.2699192
3,0.0011262335,0.26136777
4,0.0003616698,0.24937207
5,0.004901044,0.2329652
6,0.02082552,0.20996161
7,0.08375956,0.18029827
8,0.18093312,0.14776403
9,0.2916374,0.12160884
10,0.38380685,0.10408481
11,0.43864042,0.09582365
12,0.45355827,0.09155721
13,0.4291192,0.08842993
14,0.35990414,0.08289357
15,0.24651927,0.07746804
16,0.12462567,0.06766546
17,0.024785958,0.064074874
18,0.006160436,0.07242243
19,0.0024808478,0.075987756
20,0.0023705866,0.07308022
21,0.0025147088,0.0667236
22,0.0033601113,0.058742456
23,0.004682781,0.052693352
24,0.0052540526,0.05152378
