Hour,Solar,Wind,Renewable,Load,Battery,Grid
1,-0.0016603693,0.29789066,0.29623029069999995,0.6,0.3689792593246901,0.0
2,-0.0042216703,0.33457354,0.3303518697,0.58,0.31466370444318437,0.0
3,-0.007473603,0.3837446,0.376270997,0.55,0.1702221292710132,0.003506873728986837
4,-0.010033511,0.43886566,0.428832149,0.54,0.2681688069589611,0.0
5,-0.0067781173,0.48888767,0.4821095527,0.56,0.1706126993821675,0.0
6,0.011022927,0.52452826,0.5355511869999999,0.62,0.1923798133391933,0.0
7,0.08783063,0.54158026,0.6294108900000001,0.7,0.20585545520158743,0.0
8,0.20893338,0.55922997,0.76816335,0.82,0.33401968527222353,0.0
9,0.33732286,0.5771296,0.91445246,0.9,0.19702185784186965,0.0
10,0.43180507,0.59271926,1.02452433,0.95,0.3073642333071424,0.0
11,0.48129356,0.5980671,1.0793606599999999,0.98,0.16671666020443737,0.0
12,0.49068946,0.59381753,1.08450699,1.0,0.1692043015560497,0.0
13,0.46205425,0.5878342,1.04988845,1.05,0.25244620909484994,0.0
14,0.39273393,0.5848669,0.97760083,1.02,0.2061975119563493,0.0
15,0.2880589,0.582205,0.8702639,0.98,0.47982258359517826,0.0
16,0.15863219,0.576279,0.73491119,0.95,0.2500276681019572,0.0
17,0.028844906,0.55903214,0.587877046,0.92,0.29580623654750615,0.036316717452493874
18,-0.005376816,0.54030186,0.5349250440000001,0.96,0.4187878802354206,0.00628707576457932
19,-0.0065976456,0.5348782,0.5282805544,1.0,0.4816543635048167,0.0
20,-0.0044418573,0.5369798,0.5325379427,1.08,0.45297341981603223,0.09448863748396785
21,-0.005211115,0.5378768,0.532665685,1.02,0.41521268029924996,0.07212163470075006
22,-0.0032846257,0.5369296,0.5336449743,0.9,0.27914427091253025,0.08721075478746976
23,0.00051736087,0.5394967,0.54001406087,0.8,0.26756814195833745,0.0
24,0.0024521276,0.5492633,0.5517154276,0.68,0.215338590064661,0.0
