Hour,Forecast_Solar,Forecast_Wind
1,-0.0025273561,0.2813434
2,-0.0034200698,0.28819466
3,-0.0014642328,0.29583794
4,0.0035981424,0.3037175
5,0.011619609,0.30965808
6,0.03216417,0.31082606
7,0.08605085,0.30642188
8,0.18396983,0.2969421
9,0.3051032,0.28695187
10,0.4172337,0.28505182
11,0.4945985,0.29324955
12,0.52941036,0.30556595
13,0.5238821,0.317967
14,0.4808761,0.32960457
15,0.40033853,0.33806652
16,0.28276768,0.34130663
17,0.1406498,0.340407
18,0.02442101,0.34207362
19,-0.0006692931,0.3580796
20,0.0041539967,0.37767297
21,0.004699886,0.3955946
22,0.0010765493,0.4032606
23,-0.00042548776,0.4045567
24,-0.0010339841,0.40572244
